	en	zh
PreventWebsitesFromKnowingMyLanguageDescription	Effective immediately.	立即生效。
AllowWindowsTrackingAppsILaunchName	Allow windows tracking apps I launch	允许 Windows 跟踪我启动的应用
AllowWindowsTrackingAppsILaunchDescription	So runned command can be remembered. Effective immediately.	运行对话框中的命令才能被记住。立即生效。
PreventWindowsFromTrackingFilesIOpenName	Prevent windows from tracking files I open	禁止 Windows 跟踪我我打开的文件
PreventWindowsFromTrackingFilesIOpenDescription	Effective immediately.	立即生效。
PreventWindowsFromTrackingMySystemSettingsName	Prevent windows from tracking my system settings	禁止 Windows 跟踪我的系统设置
PreventWindowsFromTrackingMySystemSettingsDescription	Effective immediately.	立即生效。
UseClassicalContextMenuName	Use the classic right-click menu in Windows 10	使用 Win10 经典右键菜单
UseClassicalContextMenuDescription	The default right-click menu in Windows 11 lacks many software features and has compatibility issues. Restarting File Explorer will apply the changes.	Windows 11 默认右键菜单少了许多软件的功能，兼容性不佳。\n重启资源管理器生效。
DisableVisualEffectsName	Disable some visual effects	禁用部分视觉效果
DisableVisualEffectsDescription	Windows enables certain visual effects and animations that can consume performance and slow down operations. It is recommended to disable them. Some changes require re-logging to take effect.	Windows 开启了一些视觉效果和动画，会消耗一些性能，并拖慢操作速度，建议禁用。\n部分需要重新登录生效。
WindowsActivatorName	Activate Windows	激活 Windows
WindowsActivatorDescription	An unactivated Windows lacks some features and doesn’t perform optimally, so activation is recommended. Changes take effect immediately.	未激活的 Windows 缺少部分功能，性能也不是最佳，建议激活。\n立即生效。
WindowsUpdateName	Enable Windows Update	启用 Windows 更新
WindowsUpdateDescription	Windows Update can fix system vulnerabilities and improve system security. It is recommended to enable it. Changes take effect immediately.	Windows 更新可以修复系统漏洞，提高系统安全性，建议启用。\n立即生效。
BestPerformancePowerModeName	Best performance power mode	最佳性能电源模式
BestPerformancePowerModeDescription	The best performance power mode ensures that the system operates in a high-performance state while avoiding incorrect big-little core scheduling.\nEffective immediately.	最佳性能电源模式能保证系统运行在高性能状态，同时避免错误的大小核调度。\n立即生效。
SetIdleTimeName	The computer does not automatically sleep.	电脑不自动休眠
SetIdleTimeDescription	Set the computer not to sleep automatically, and turn off the screen after 30 minutes, and apply only when plugged in..\nEffective immediately.	设置电脑不自动休眠，30 分钟关闭屏幕，仅在插电时生效。\n立即生效。
DisableSystemSoundsName	Disable system sounds.	禁止系统音效
DisableSystemSoundsDescription	The system often makes various notification sounds, which can be quite annoying.\nEffective immediately.	系统经常会发出各种提示音，比较烦人。\n立即生效。
DisableEdgeFromRunningInBackgroundName	Prevent Edge Browser from Running in the Background	禁止 Edge 浏览器在后台运行
DisableEdgeFromRunningInBackgroundDescription	The Edge browser continues to run in the background even after it is closed, consuming system resources.\nEffective immediately.	Edge 浏览器在退出之后，依然会在后台运行，占用系统资源。\n立即生效。
TurnOnGameModeName	Turn on game mode	开启游戏模式
TurnOnGameModeDescription	Game mode can improve game performance and stability.\nEffective immediately.	游戏模式可以提高游戏运行的性能和稳定性。\n立即生效
DisableThumbnailsName		不显示图片预览
DisableThumbnailsDescription		图片预览要占用后台资源，可以使用图片查看软件替代。\n立即生效。
