GroupName	Name	Category	KeyPath	ValueName	ValueType	DefaultValue	OptimizingValue	DeleteDefaultValue	ShouldTurnOffTamperProtection	ShouldUpdateGroupPolicy	ShouldReboot	shouldRestartExplorer
Explorer	DisableSnapAssist		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	SnapAssist	int	1	0	TRUE				TRUE
Explorer	DisablePreviewHandlers	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	ShowPreviewHandlers	int	1	0	TRUE				TRUE
Taskbar	TurnOffSearchHighlights		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Windows Search	EnableDynamicContentInWSB	int	1	0	TRUE				
Taskbar	TurnOffWidgets		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Dsh	AllowNewsAndInterests	int	1	0	TRUE				
Taskbar	HideTheSearchBox		HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\Windows Search	SearchOnTaskbarMode	int	3	0	TRUE				TRUE
Taskbar	HideTaskViewButton		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	ShowTaskViewButton	int	1	0					
Taskbar	NeverCombineTaskbarIcons	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	TaskbarGlomLevel	int	0	2					TRUE
	NeverCombineTaskbarIcons		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	MMTaskbarGlomLevel	int	0	2					
StartMenu	PreventStartMenuFromSearchingTheWeb		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\Explorer	DisableSearchBoxSuggestions	int	0	1	TRUE				TRUE
StartMenu	PreventStartMenuFromSearchingCloudContent		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Windows Search	AllowCloudSearch	int	1	0	TRUE				
StartMenu	DisableRecommendedApps		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	Start_IrisRecommendations	int	1	0					
Security	DisableAutoPlay		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers	DisableAutoplay	int	0	1					
Security	EnableWindowsDeliveryOptimization		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Settings	DownloadMode	int	1	1					
Security	NoAutoRebootAfterWindowsUpdate		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU	NoAutoRebootWithLoggedOnUsers	int	0	1	TRUE		TRUE		
Security	AllowEdgeToDownloadDangerousFileTypesWithoutWarning		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge\ExemptFileTypeDownloadWarnings	1	string		{"file_extension": "exe", "domains": ["*"]}	TRUE		TRUE		
Security	AllowEdgeToDownloadDangerousFileTypesWithoutWarning		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge\ExemptFileTypeDownloadWarnings	2	string		{"file_extension": "msi", "domains": ["*"]}	TRUE		TRUE		
Security	AllowEdgeToDownloadDangerousFileTypesWithoutWarning		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge\ExemptFileTypeDownloadWarnings	3	string		{"file_extension": "crx", "domains": ["*"]}	TRUE		TRUE		
Privacy	DoNotShowFrequentFoldersInFileExplorer	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer	ShowFrequent	int	1	0	TRUE				
Privacy	DoNotShowRecentlyUsedFilesInFileExplorer	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer	ShowRecent	int	1	0	TRUE				
Privacy	DoNotShowFilesFromOfficeComInFileExplorer	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer	ShowCloudFilesInQuickAccess	int	1	0					
Privacy	DoNotShowNewlyInstalledAppsInTheStartMenu	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Start	ShowRecentList	int	1	0					
Privacy	DoNotShowFrequentlyUsedAppsInTheStartMenu	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Start	ShowFrequentList	int	1	0					
Privacy	DisablePersonalizedAds	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\AdvertisingInfo	Enabled	int	1	0					
Privacy	PreventWebsitesFromKnowingMyLanguage	Personal	HKEY_CURRENT_USER\Control Panel\International\User Profile	HttpAcceptLanguageOptOut	int	0	1	TRUE				
Privacy	AllowWindowsTrackingAppsILaunch	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	Start_TrackProgs	int	0	1					
Privacy	PreventWindowsFromTrackingFilesIOpen	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	Start_TrackDocs	int	1	0					
Privacy	PreventWindowsFromTrackingMySystemSettings	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager	SubscribedContent-338393Enabled	int	1	0					
	PreventWindowsFromTrackingMySystemSettings		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager	SubscribedContent-353694Enabled	int	1	0					
	PreventWindowsFromTrackingMySystemSettings		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager	SubscribedContent-353696Enabled	int	1	0					
Privacy	DisableWindowsSpotlight		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\CloudContent	DisableSpotlightCollectionOnDesktop	int	0	1	TRUE	FALSE	TRUE	FALSE	FALSE
	DisableWindowsSpotlight		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\CloudContent	ConfigureWindowsSpotlight	int	1	2	TRUE	FALSE	TRUE	FALSE	FALSE
Privacy	DisableMicrosoftConsumerFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\CloudContent	DisableWindowsConsumerFeatures	int	0	1	TRUE	FALSE	TRUE	FALSE	FALSE
Privacy	DisableSuggestedAppInstallation		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager	SilentInstalledAppsEnabled	int	1	0	TRUE	FALSE	FALSE	FALSE	FALSE
Privacy	DisableStartAndSettingsSuggestions		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\CloudContent	DisableWindowsSpotlightOnSettings	int	0	1	TRUE	FALSE	TRUE	FALSE	FALSE
	DisableStartAndSettingsSuggestions		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\CloudContent	DisableWindowsSpotlightWindowsWelcomeExperience	int	0	1	TRUE	FALSE	TRUE	FALSE	FALSE
	DisableStartAndSettingsSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\CloudContent	DisableSoftLanding	int	0	1	TRUE	FALSE	TRUE	FALSE	FALSE
	DisableStartAndSettingsSuggestions		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\CloudContent	DisableThirdPartySuggestions	int	0	1	TRUE	FALSE	TRUE	FALSE	FALSE
Privacy	DisableTelemetry		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\DataCollection	AllowTelemetry	int	1	0	TRUE		TRUE		
Privacy	DisablePowerShell7Telemetry		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Session Manager\Environment	POWERSHELL_TELEMETRY_OPTOUT	string		1	TRUE				
Privacy	DisableActivityHistory		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\System	PublishUserActivities	int	1	0	TRUE		TRUE		
Privacy	DisableFeedbackPrompts		HKEY_CURRENT_USER\Software\Microsoft\Siuf\Rules	NumberOfSIUFInPeriod	int	1	0					
Software	DisableEdgeFromRunningInBackground		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\MicrosoftEdge\Main	AllowPrelaunch	int	1	0	TRUE		TRUE		
	DisableEdgeFromRunningInBackground		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	StartupBoostEnabled	int	1	0	TRUE				
Software	UseWindowsTerminal		HKEY_CURRENT_USER\Console\%%Startup	DelegationConsole	string	{B23D10C0-E52E-411E-9D5B-C09FDF709C7D}	{2EACA947-7F5F-4CFA-BA87-8F7FBEEFBE69}					
	UseWindowsTerminal		HKEY_CURRENT_USER\Console\%%Startup	DelegationTerminal	string	{B23D10C0-E52E-411E-9D5B-C09FDF709C7D}	{E12CFF52-A866-4C77-9A90-F570A7AA2C6B}					
Software	TortoiseSVNCacheType		HKEY_CURRENT_USER\SOFTWARE\TortoiseSVN	CacheType	int	2	2					
Software	TortoiseGitCacheType		HKEY_CURRENT_USER\SOFTWARE\TortoiseGit	CacheType	int	2	2					
Software	DisableRemoteDesktopSecurityWarning		HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Terminal Services\Client	RedirectionWarningDialogVersion	int	0	1	TRUE				
System	ReduceStartupDelay		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Serialize	StartupDelayInMSec	int	1	0	TRUE				
System	DisableWindowsCopilot		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\WindowsCopilot	TurnOffWindowsCopilot	int	0	1	TRUE				TRUE
	DisableWindowsCopilot		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsCopilot	TurnOffWindowsCopilot	int	0	1	TRUE				
	DisableWindowsCopilot		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	ShowCopilotButton	int	1	0					
System	DisableRecall		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsAI	DisableAIDataAnalysis	int	0	1	TRUE		TRUE		
System	DisableClickToDo		HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\WindowsAI	DisableClickToDo	int	0	1	TRUE				
	DisableClickToDo		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsAI	DisableClickToDo	int	0	1	TRUE				
Software	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	CopilotCDPPageContext	int	1	0	TRUE		TRUE		
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	CopilotPageContext	int	1	0	TRUE				
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	HubsSidebarEnabled	int	1	0	TRUE				
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	EdgeEntraCopilotPageContext	int	1	0	TRUE				
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	EdgeHistoryAISearchEnabled	int	1	0	TRUE				
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	ComposeInlineEnabled	int	1	0	TRUE				
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	GenAILocalFoundationalModelSettings	int	0	1	TRUE				
	DisableEdgeAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	NewTabPageBingChatEnabled	int	1	0	TRUE				
Software	DisablePaintAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Paint	DisableCocreator	int	0	1	TRUE				
	DisablePaintAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Paint	DisableGenerativeFill	int	0	1	TRUE				
	DisablePaintAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Paint	DisableImageCreator	int	0	1	TRUE				
	DisablePaintAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Paint	DisableGenerativeErase	int	0	1	TRUE				
	DisablePaintAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Paint	DisableRemoveBackground	int	0	1	TRUE				
Software	DisableNotepadAIFeatures		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\WindowsNotepad	DisableAIFeatures	int	0	1	TRUE				
Software	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	NewTabPageContentEnabled	int	1	0	TRUE		TRUE		
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	NewTabPageHideDefaultTopSites	int	0	1	TRUE				
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	EdgeShoppingAssistantEnabled	int	1	0	TRUE				
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	ShowRecommendationsEnabled	int	1	0	TRUE				
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	HideFirstRunExperience	int	1	0	TRUE				
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	SpotlightExperiencesAndRecommendationsEnabled	int	1	0	TRUE				
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	PersonalizationReportingEnabled	int	1	0	TRUE				
	DisableEdgeAdsAndSuggestions		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Edge	DiagnosticData	int	1	0	TRUE				
Taskbar	EnableTaskbarEndTask		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced\TaskbarDeveloperSettings	TaskbarEndTask	int	0	1	TRUE				
Taskbar	EnableLastActiveClick		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	LastActiveClick	int	0	1	TRUE				
Taskbar	HideChatTaskbarButton		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	TaskbarMn	int	1	0					
	HideChatTaskbarButton		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer	HideSCAMeetNow	int	0	1	TRUE				
Privacy	DisableLockScreenTips		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager	SubscribedContent-338387Enabled	int	1	0					
	DisableLockScreenTips		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\ContentDeliveryManager	RotatingLockScreenOverlayEnabled	int	1	0					
Privacy	DisableSettings365Ads		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\CloudContent	DisableConsumerAccountStateContent	int	0	1	TRUE		TRUE		
Privacy	HideSettingsHomePage		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer	SettingsPageVisibility	string		hide:home	TRUE				
Privacy	DisableLocationServices		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\LocationAndSensors	DisableLocation	int	0	1	TRUE		TRUE		
Privacy	DisableFindMyDevice		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\FindMyDevice	AllowFindMyDevice	int	1	0	TRUE		TRUE		
Explorer	ShowHiddenFilesAndFolders	Personal	HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced	Hidden	int	2	1					
Explorer	HideHomeFromExplorer		HKEY_CURRENT_USER\Software\Classes\CLSID\{f874310e-b6b7-47dc-bc84-b9e6b38f5903}	System.IsPinnedToNameSpaceTree	int	1	0					TRUE
Explorer	HideGalleryFromExplorer		HKEY_CURRENT_USER\Software\Classes\CLSID\{e88865ea-0e1c-4e20-9aa6-edcd0212c87c}	System.IsPinnedToNameSpaceTree	int	1	0					TRUE
Explorer	HideOneDriveFromExplorer		HKEY_CURRENT_USER\Software\Classes\CLSID\{018D5C66-4533-4307-9B53-224DE2ED1FE6}	System.IsPinnedToNameSpaceTree	int	1	0					TRUE
System	DisableStickyKeysShortcut		HKEY_CURRENT_USER\Control Panel\Accessibility\StickyKeys	Flags	string	510	506					
System	DisableBitLockerAutoEncryption		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\BitLocker	PreventDeviceEncryption	int	0	1	TRUE				
System	DisableModernStandbyNetworking		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9	ACSettingIndex	int	1	0	TRUE		TRUE		
	DisableModernStandbyNetworking		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9	DCSettingIndex	int	1	0	TRUE				
System	DisableShareDragTray		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\CDP	DragTrayEnabled	int	1	0					
System	DisableGameBarIntegration		HKEY_CURRENT_USER\SOFTWARE\Microsoft\GameBar	UseNexusForGameBarEnabled	int	1	0					
Security	DisableUpdateAsSoonAsAvailable		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\WindowsUpdate\UX\Settings	IsContinuousInnovationOptedIn	int	1	0					
Security	PreventDeviceCompanionAppAutoInstall		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Device Metadata	PreventDeviceMetadataFromNetwork	int	0	1	TRUE		TRUE		
StartMenu	DisablePhoneLinkInStart		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Start\Companions\Microsoft.YourPhone_8wekyb3d8bbwe	IsEnabled	int	1	0					
StartMenu	DisableCortanaInSearch		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Windows Search	AllowCortana	int	1	0	TRUE		TRUE		
	DisableCortanaInSearch		HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\Windows Search	CortanaConsent	int	1	0	TRUE				
Kernel	DisableNtfs8Dot3NameCreation		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\FileSystem	NtfsDisable8dot3NameCreation	int	2	1				TRUE	
System	DisableBackgroundApps		HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\BackgroundAccessApplications	GlobalUserDisabled	int	0	1	TRUE				
System	DisableAutomaticMaintenance		HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\Maintenance	MaintenanceDisabled	int	0	1	TRUE				
System	DisablePowerThrottling		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\Power\PowerThrottling	PowerThrottlingOff	int	0	1	TRUE			TRUE	
System	EnableHardwareAcceleratedGpuScheduling		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\GraphicsDrivers	HwSchMode	int	1	2				TRUE	
System	PreferProgramsProcessorScheduling		HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\PriorityControl	Win32PrioritySeparation	int	24	2					
